Headline,URL
AI agent bankrupted their operator while trying to scan DN42,https://lantian.pub/en/article/fun/ai-agent-bankrupted-their-operator-scan-dn42lantian.lantian/
WASI 0.3.0 Released,https://github.com/WebAssembly/WASI/releases/tag/v0.3.0
Maxproof,https://arxiv.org/abs/2606.13473
The Future of Email,https://www.fastmail.com/blog/the-future-of-email/
"If you are asking for human attention, demonstrate human effort",https://tombedor.dev/human-attention-and-human-effort/
Nobody ever gets credit for fixing problems that never happened (2001) [pdf],https://web.mit.edu/nelsonr/www/Repenning=Sterman_CMR_su01_.pdf
Claude Fable is relentlessly proactive,https://simonwillison.net/2026/Jun/11/fable-is-relentlessly-proactive/
AUR Packages Compromised with Infostealer and Rootkit,https://discourse.ifin.network/t/400-aur-packages-compromised-with-infostealer-and-rootkit/577
Hazel (YC W24) Is Hiring a Full Stack Engineer,https://www.ycombinator.com/companies/hazel-2/jobs/3epPWgu-full-stack-engineer-ts-sci
Show HN: Homebrew 6.0.0,https://brew.sh/2026/06/11/homebrew-6.0.0/
Kimi K2.7-Code: open-source coding model with better token efficiency,https://huggingface.co/moonshotai/Kimi-K2.7-Code
The Unsung Hero of the Lord of the Rings,https://www.theculturist.io/p/the-unsung-hero-of-the-lord-of-the
How we made hit video game Prince of Persia,https://www.theguardian.com/culture/2026/jan/05/raiders-of-the-lost-ark-hit-video-game-prince-of-persia
"Show HN: FablePool – pool money behind a prompt, and Fable builds it in public",https://fablepool.com
Vinyl succumbs to Loudness War: more than just collateral damage (2025),https://magicvinyldigital.net/2025/04/27/vinyl-succumbs-to-loudness-war-more-than-just-collateral-damage/
Ryanair dark UX patterns summer 2026 refresher,https://blog.osull.com/2026/06/12/ryanair-dark-ux-patterns-summer-2026-refresher/
Anthropic apologizes for invisible Claude Fable guardrails,https://www.theverge.com/ai-artificial-intelligence/948280/anthropic-claude-fable-invisible-distillation-guardrail
MiMo Code is now released and open-source,https://mimo.xiaomi.com/mimocode
Encrypted Spaces An architecture for collaborative applications,https://encryptedspaces.org/
"David Hockney, Who Restored the Human Form to Art, Dies at 88",https://www.nytimes.com/2026/06/12/arts/design/david-hockney-dead.html
Petition to Withdraw Canada's Bill C-22,https://www.ourcommons.ca/petitions/en/Petition/Sign/e-7416
Making a vintage LLM from scratch,https://crlf.link/log/entries/260525-1/
macOS 27 Beta breaks the ability to boot Asahi Linux,https://www.phoronix.com/news/macOS-27-Beta-Breaks-Asahi
Claude Fable 5: mid-tier results on coding tasks,https://www.endorlabs.com/learn/claude-fable-5-mythos-grade-hype
"Reading for pleasure is sharply down among schoolkids, report shows",https://www.nbcnews.com/data-graphics/kids-reading-less-lower-levels-department-education-study-rcna348987
Removing 'um' from a recording is harder than it sounds,https://doug.sh/posts/erm-a-local-cli-that-strips-ums-uhs-and-erms-from-speech/
Emacs appearances in pop culture,https://ianyepan.github.io/posts/emacs-in-pop-culture/
Ear Training Practice,https://tonedear.com/
Software is made between commits,https://zed.dev/blog/introducing-deltadb
Lines of code got a better publicist,https://curlewis.co.nz/posts/lines-of-code-got-a-better-publicist/
